Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
1,-121.7014627,37.63904758,2017,270,0,0
2,-121.8043651,37.34095977,0,0,0,0
3,-121.0861469,37.65484962,0,0,0,0
4,-121.8347273,37.1521606,2017,61,0,0
5,-121.7029869,37.15413184,0,0,0,0
6,-121.0206927,36.98927596,0,0,0,0
7,-121.22838,37.4942572,0,0,0,0
8,-121.1954585,37.48141274,2019,148,0,0
9,-120.8712266,37.33534814,0,0,0,0
10,-120.8961015,37.09683461,0,0,0,0
11,-121.2358264,37.90095425,2017,181,2020,38
12,-121.5185603,37.75125654,0,0,0,0
13,-121.7257407,37.00926872,0,0,0,0
14,-120.785022,36.99117804,2017,254,0,0
15,-120.6674456,37.47600128,0,0,0,0
16,-120.7123961,37.12471667,0,0,0,0
17,-121.089276,37.01521009,2017,295,2019,204
18,-121.7570652,37.27622221,0,0,0,0
19,-121.771804,37.57202861,0,0,0,0
20,-121.6391995,37.53773768,0,0,0,0
21,-121.8260189,37.50713707,0,0,0,0
22,-120.9762308,37.25960818,2017,190,2019,148
23,-121.6875414,37.47984703,0,0,0,0
24,-121.0925763,36.99126294,2017,150,0,0
25,-120.8874099,37.57686597,0,0,0,0
26,-121.1633943,37.59691287,0,0,0,0
27,-121.4084952,37.05242127,0,0,0,0
28,-120.8535622,37.38854877,2015,169,0,0
29,-121.4946898,37.197816,0,0,0,0
30,-121.4643274,37.81196666,2016,292,2019,50
31,-120.8961508,37.48005057,2018,265,0,0
32,-121.2345288,37.85807768,0,0,0,0
33,-121.5470483,37.28305937,0,0,0,0
34,-120.967613,37.23485391,0,0,0,0
35,-121.6722026,37.03293865,0,0,0,0
36,-120.7343156,37.27350645,0,0,0,0
37,-121.595287,37.25729897,0,0,0,0
38,-121.7685588,37.09818094,0,0,0,0
39,-121.7745879,37.47799527,0,0,0,0
40,-120.9153369,37.47523017,0,0,0,0
41,-120.8656318,37.13222942,0,0,0,0
42,-120.9610376,37.11554166,2019,50,0,0
43,-120.9219618,37.73912969,0,0,0,0
44,-120.665526,37.89646023,0,0,0,0
45,-121.2804154,37.87640662,2019,211,0,0
46,-120.8850255,37.78521675,0,0,0,0
47,-121.3373804,37.76443951,2019,36,0,0
48,-120.7054109,37.3066329,2015,268,2018,65
49,-121.8573707,37.91028933,0,0,0,0
50,-120.6544924,37.45670483,0,0,0,0
51,-121.1666858,37.26291477,2018,336,0,0
52,-121.4305123,37.82144917,2018,176,2020,38
53,-121.171731,37.69836631,0,0,0,0
54,-121.4919014,37.65071937,0,0,0,0
55,-121.6639872,37.76727934,0,0,0,0
56,-121.0405978,37.61000912,0,0,0,0
57,-121.0294989,37.13998295,2016,216,2018,153
58,-120.8827086,37.63097057,0,0,0,0
59,-121.4414161,37.17119994,0,0,0,0
60,-121.5584202,37.39202524,0,0,0,0
61,-121.4413912,37.38864976,0,0,0,0
62,-121.4651024,37.2157791,2016,76,0,0
63,-120.7297772,37.1616686,2016,36,0,0
64,-120.9438403,37.04036764,0,0,0,0
65,-121.5032038,37.79938776,2018,184,2016,60
66,-121.1252083,37.14845815,2016,228,0,0
67,-120.9122967,37.73996529,0,0,0,0
68,-120.8083995,37.89595995,0,0,0,0
69,-120.7420666,37.79786312,2015,121,0,0
70,-121.1218888,37.79828572,0,0,0,0
71,-121.7754918,37.81223344,0,0,0,0
72,-121.6048706,37.01611295,0,0,0,0
73,-120.7867133,37.65519141,0,0,0,0
